INDIVID_ID,DATE,SPECIES,LIFE_STAGE,REEF,SITE,ZONING,FL,TL,LAT,LONG,YEAR,PlateID,Plate,Well
P.juv_01648,2021-03-31,P. maculatus,Juvenile,Middle Island,M2,Green,116,120,-23.168,150.922,2021,PmJuv01_C10,PmJuv01,C10
P.juv_01649,2021-03-31,P. maculatus,Juvenile,Middle Island,M2,Green,88,91,-23.168,150.922,2021,PmJuv01_C11,PmJuv01,C11
P.juv_01650,2021-03-31,P. maculatus,Juvenile,Middle Island,MOBS,Green,244,259,-23.168,150.922,2021,PmJuv01_C12,PmJuv01,C12
P.juv_01651,2021-03-31,P. maculatus,Juvenile,Middle Island,MOBS,Green,82,85,-23.168,150.922,2021,PmJuv01_D01,PmJuv01,D01
P.juv_01652,2021-04-05,P. maculatus,Juvenile,Monkey Bay,GK9,Green,107,109,-23.196,150.937,2021,PmJuv01_D02,PmJuv01,D02
P.juv_01653,2021-04-05,P. maculatus,Juvenile,Monkey Bay,GK9,Green,94,98,-23.196,150.937,2021,PmJuv01_D03,PmJuv01,D03
P.juv_01654,2021-04-06,P. maculatus,Juvenile,Halfway Is Blue,H3,Blue,220,230,-23.201,150.966,2021,PmJuv01_D04,PmJuv01,D04
P.juv_01655,2021-04-06,P. maculatus,Juvenile,Halfway Is Blue,H3,Blue,107,114,-23.201,150.966,2021,PmJuv01_D05,PmJuv01,D05
P.juv_01656,2021-04-06,P. maculatus,Juvenile,Halfway Is Blue,H3,Blue,165,175,-23.201,150.966,2021,PmJuv01_D06,PmJuv01,D06
P.juv_01657,2021-04-06,P. maculatus,Juvenile,Halfway Is Blue,H3,Blue,195,205,-23.201,150.966,2021,PmJuv01_D07,PmJuv01,D07
P.juv_01658,2021-04-06,P. maculatus,Juvenile,Halfway Is Blue,H3,Blue,115,124,-23.201,150.966,2021,PmJuv01_D08,PmJuv01,D08
P.juv_01659,2021-04-06,P. maculatus,Juvenile,Halfway Is Blue,H3,Blue,229,242,-23.201,150.966,2021,PmJuv01_D09,PmJuv01,D09
P.juv_01660,2021-04-06,P. maculatus,Juvenile,Halfway Is Blue,H3,Blue,225,234,-23.201,150.966,2021,PmJuv01_D10,PmJuv01,D10
P.juv_01661,2021-04-06,P. maculatus,Juvenile,Halfway Is Blue,H3,Blue,210,220,-23.201,150.966,2021,PmJuv01_D11,PmJuv01,D11
P.juv_01662,2021-04-06,P. maculatus,Juvenile,Halfway Is Blue,H3,Blue,144,150,-23.201,150.966,2021,PmJuv01_D12,PmJuv01,D12
P.juv_01663,2021-04-06,P. maculatus,Juvenile,Halfway Is Blue,H3,Blue,256,264,-23.201,150.966,2021,PmJuv01_E01,PmJuv01,E01
P.juv_01664,2021-04-06,P. maculatus,Juvenile,Halfway Is Blue,H3,Blue,85,89,-23.201,150.966,2021,PmJuv01_E02,PmJuv01,E02
P.juv_01665,2021-04-06,P. maculatus,Juvenile,Halfway Is Blue,H3,Blue,125,135,-23.201,150.966,2021,PmJuv01_E03,PmJuv01,E03
P.juv_01666,2021-04-06,P. maculatus,Juvenile,Halfway Is Blue,H3,Blue,294,307,-23.201,150.966,2021,PmJuv01_E04,PmJuv01,E04
P.juv_01667,2021-04-06,P. maculatus,Juvenile,Halfway Is Blue,H3,Blue,252,261,-23.201,150.966,2021,PmJuv01_E05,PmJuv01,E05
P.juv_01668,2021-04-06,P. maculatus,Juvenile,Halfway Is Blue,H3,Blue,226,234,-23.201,150.966,2021,PmJuv01_E06,PmJuv01,E06
P.juv_01669,2021-04-06,P. maculatus,Juvenile,Halfway Is Blue,H3,Blue,179,191,-23.201,150.966,2021,PmJuv01_E07,PmJuv01,E07
P.juv_01670,2021-04-06,P. maculatus,Juvenile,Halfway Is Blue,H3,Blue,172,181,-23.201,150.966,2021,PmJuv01_E08,PmJuv01,E08
P.juv_01671,2021-04-06,P. maculatus,Juvenile,Halfway Is Blue,H3,Blue,180,192,-23.201,150.966,2021,PmJuv01_E09,PmJuv01,E09
P.juv_01672,2021-04-06,P. maculatus,Juvenile,Halfway Is Blue,H3,Blue,258,270,-23.201,150.966,2021,PmJuv01_E10,PmJuv01,E10
P.juv_01673,2021-04-06,P. maculatus,Juvenile,Halfway Is Blue,H3,Blue,214,228,-23.201,150.966,2021,PmJuv01_E11,PmJuv01,E11
P.juv_01674,2021-04-06,P. maculatus,Juvenile,Halfway Is Blue,H3,Blue,103,107,-23.201,150.966,2021,PmJuv01_E12,PmJuv01,E12
P.juv_01675,2021-04-06,P. maculatus,Juvenile,Halfway Is Blue,H3,Blue,114,120,-23.201,150.966,2021,PmJuv01_F01,PmJuv01,F01
P.juv_01676,2021-04-06,P. maculatus,Juvenile,Halfway Is Blue,H3,Blue,217,230,-23.201,150.966,2021,PmJuv01_F02,PmJuv01,F02
P.juv_01677,2021-04-06,P. maculatus,Juvenile,Halfway Is Blue,H3,Blue,NA,NA,-23.201,150.966,2021,PmJuv01_F03,PmJuv01,F03
P.juv_01678,2021-04-06,P. maculatus,Juvenile,Halfway Is Blue,H3,Blue,80,82,-23.201,150.966,2021,PmJuv01_F04,PmJuv01,F04
P.juv_01679,2021-04-07,P. maculatus,Juvenile,Clam Bay,GK6,Green,246,261,-23.188,150.979,2021,PmJuv01_F05,PmJuv01,F05
P.juv_01680,2021-04-07,P. maculatus,Juvenile,Clam Bay,GK6,Green,288,305,-23.188,150.979,2021,PmJuv01_F06,PmJuv01,F06
P.juv_01681,2021-04-07,P. maculatus,Juvenile,Clam Bay,GK6,Green,235,243,-23.188,150.979,2021,PmJuv01_F07,PmJuv01,F07
P.juv_01682,2021-04-07,P. maculatus,Juvenile,Clam Bay,GK6,Green,246,261,-23.188,150.979,2021,PmJuv01_F08,PmJuv01,F08
P.juv_01683,2021-04-07,P. maculatus,Juvenile,Clam Bay,GK6,Green,265,278,-23.188,150.979,2021,PmJuv01_F09,PmJuv01,F09
P.juv_01684,2021-04-07,P. maculatus,Juvenile,Clam Bay,GK6,Green,NA,NA,-23.188,150.979,2021,PmJuv01_F10,PmJuv01,F10
P.juv_01685,2021-04-07,P. maculatus,Juvenile,Clam Bay,GK6,Green,105,111,-23.188,150.979,2021,PmJuv01_F11,PmJuv01,F11
P.juv_01686,2021-04-07,P. maculatus,Juvenile,Clam Bay,GK6,Green,125,129,-23.188,150.979,2021,PmJuv01_F12,PmJuv01,F12
P.juv_01687,2021-04-07,P. maculatus,Juvenile,Clam Bay,GK6,Green,114,116,-23.188,150.979,2021,PmJuv01_G01,PmJuv01,G01
P.juv_01688,2021-04-07,P. maculatus,Juvenile,Clam Bay,GK6,Green,NA,NA,-23.188,150.979,2021,PmJuv01_G02,PmJuv01,G02
P.juv_01689,2021-04-07,P. maculatus,Juvenile,Clam Bay,GK6,Green,239,260,-23.188,150.979,2021,PmJuv01_G03,PmJuv01,G03
P.juv_01690,2021-04-07,P. maculatus,Juvenile,Clam Bay,GK6,Green,145,152,-23.188,150.979,2021,PmJuv01_G04,PmJuv01,G04
P.juv_01691,2021-04-07,P. maculatus,Juvenile,Clam Bay,GK6,Green,114,117,-23.188,150.979,2021,PmJuv01_G05,PmJuv01,G05
P.juv_01692,2021-04-07,P. maculatus,Juvenile,Clam Bay,GK6,Green,129,134,-23.188,150.979,2021,PmJuv01_G06,PmJuv01,G06
P.juv_01693,2021-04-07,P. maculatus,Juvenile,Clam Bay,GK6,Green,100,106,-23.188,150.979,2021,PmJuv01_G07,PmJuv01,G07
P.juv_01694,2021-04-07,P. maculatus,Juvenile,Clam Bay,GK6,Green,62,63,-23.188,150.979,2021,PmJuv01_G08,PmJuv01,G08
P.juv_01695,2021-04-07,P. maculatus,Juvenile,Clam Bay,GK6,Green,35,35,-23.188,150.979,2021,PmJuv01_G09,PmJuv01,G09
P.juv_01696,2021-04-07,P. maculatus,Juvenile,Clam Bay,GK6,Green,57,59,-23.188,150.979,2021,PmJuv01_G10,PmJuv01,G10
P.juv_01697,2021-04-07,P. maculatus,Juvenile,Halfway Is Blue,H3,Blue,225,234,-23.201,150.966,2021,PmJuv01_G11,PmJuv01,G11
P.juv_01698,2021-04-07,P. maculatus,Juvenile,Halfway Is Blue,H3,Blue,125,132,-23.201,150.966,2021,PmJuv01_G12,PmJuv01,G12
P.juv_01699,2021-04-07,P. maculatus,Juvenile,Halfway Is Blue,H3,Blue,108,113,-23.201,150.966,2021,PmJuv01_H01,PmJuv01,H01
P.juv_01700,2021-04-07,P. maculatus,Juvenile,Halfway Is Blue,H3,Blue,92,107,-23.201,150.966,2021,PmJuv01_H02,PmJuv01,H02
P.juv_01701,2021-04-07,P. maculatus,Juvenile,Clam Bay,GK6,Green,202,210,-23.188,150.979,2021,PmJuv01_H03,PmJuv01,H03
P.juv_01702,2021-04-07,P. maculatus,Juvenile,Clam Bay,GK6,Green,119,123,-23.188,150.979,2021,PmJuv01_H04,PmJuv01,H04
P.juv_01703,2021-04-07,P. maculatus,Juvenile,Clam Bay,GK6,Green,111,114,-23.188,150.979,2021,PmJuv01_H05,PmJuv01,H05
P.juv_01704,2021-04-07,P. maculatus,Juvenile,Clam Bay,GK6,Green,NA,NA,-23.188,150.979,2021,PmJuv01_H06,PmJuv01,H06
P.juv_01705,2021-04-07,P. maculatus,Juvenile,Clam Bay,GK6,Green,125,130,-23.188,150.979,2021,PmJuv01_H07,PmJuv01,H07
P.juv_01706,2021-04-07,P. maculatus,Juvenile,Clam Bay,GK6,Green,214,224,-23.188,150.979,2021,PmJuv01_H08,PmJuv01,H08
P.juv_01707,2021-04-07,P. maculatus,Juvenile,Clam Bay,GK6,Green,75,77,-23.188,150.979,2021,PmJuv01_H09,PmJuv01,H09
P.juv_01708,2021-04-07,P. maculatus,Juvenile,Humpy Island,HU1,Yellow,159,163,-23.215,150.969,2021,PmJuv01_H10,PmJuv01,H10
P.juv_01709,2021-04-08,P. maculatus,Juvenile,Clam Bay,GK6,Green,279,293,-23.188,150.979,2021,PmJuv01_H11,PmJuv01,H11
P.juv_01710,2021-04-08,P. maculatus,Juvenile,Clam Bay,GK5,Green,209,221,-23.188,150.979,2021,PmJuv02_A01,PmJuv02,A01
P.juv_01711,2021-04-08,P. maculatus,Juvenile,Clam Bay,GK5,Green,111,118,-23.188,150.979,2021,PmJuv02_A02,PmJuv02,A02
P.juv_01712,2021-04-08,P. maculatus,Juvenile,Clam Bay,GK6,Green,137,143,-23.188,150.979,2021,PmJuv02_A03,PmJuv02,A03
P.juv_01713,2021-04-08,P. maculatus,Juvenile,Clam Bay,GK6,Green,100,NA,-23.188,150.979,2021,PmJuv02_A04,PmJuv02,A04
P.juv_01714,2021-04-08,P. maculatus,Juvenile,Clam Bay,GK5,Green,87,89,-23.188,150.979,2021,PmJuv02_A05,PmJuv02,A05
P.juv_01715,2021-04-08,P. maculatus,Juvenile,Clam Bay,GK5,Green,78,80,-23.188,150.979,2021,PmJuv02_A06,PmJuv02,A06
P.juv_01716,2021-04-08,P. maculatus,Juvenile,Clam Bay,CBL,Green,240,254,-23.188,150.979,2021,PmJuv02_A07,PmJuv02,A07
P.juv_01717,2021-04-08,P. maculatus,Juvenile,Clam Bay,CBL,Green,247,260,-23.188,150.979,2021,PmJuv02_A08,PmJuv02,A08
P.juv_01718,2021-04-08,P. maculatus,Juvenile,Clam Bay,CBL,Green,245,257,-23.188,150.979,2021,PmJuv02_A09,PmJuv02,A09
P.juv_01719,2021-04-08,P. maculatus,Juvenile,Clam Bay,CBL,Green,240,254,-23.188,150.979,2021,PmJuv02_A10,PmJuv02,A10
P.juv_01720,2021-04-08,P. maculatus,Juvenile,Clam Bay,CBL,Green,127,134,-23.188,150.979,2021,PmJuv02_A11,PmJuv02,A11
P.juv_01721,2021-04-08,P. maculatus,Juvenile,Clam Bay,CBL,Green,103,108,-23.188,150.979,2021,PmJuv02_A12,PmJuv02,A12
P.juv_01722,2021-04-08,P. maculatus,Juvenile,Clam Bay,CBL,Green,105,110,-23.188,150.979,2021,PmJuv02_B01,PmJuv02,B01
P.juv_01723,2021-04-08,P. maculatus,Juvenile,Clam Bay,CBL,Green,74,87,-23.188,150.979,2021,PmJuv02_B03,PmJuv02,B03
P.juv_01724,2021-04-08,P. maculatus,Juvenile,Clam Bay,GK6,Green,60,61,-23.188,150.979,2021,PmJuv02_B04,PmJuv02,B04
P.juv_01725,2021-04-08,P. maculatus,Juvenile,Clam Bay,CBL,Green,200,210,-23.188,150.979,2021,PmJuv02_B05,PmJuv02,B05
P.juv_01726,2021-04-08,P. maculatus,Juvenile,Clam Bay,CBL,Green,118,122,-23.188,150.979,2021,PmJuv02_B06,PmJuv02,B06
P.juv_01727,2021-04-08,P. maculatus,Juvenile,Clam Bay,CBL,Green,78,80,-23.188,150.979,2021,PmJuv02_B07,PmJuv02,B07
P.juv_01728,2021-04-08,P. maculatus,Juvenile,Clam Bay,CBL,Green,93,99,-23.188,150.979,2021,PmJuv02_B08,PmJuv02,B08
P.juv_01729,2021-04-08,P. maculatus,Juvenile,Clam Bay,CBL,Green,104,108,-23.188,150.979,2021,PmJuv02_B09,PmJuv02,B09
P.juv_01730,2021-04-08,P. maculatus,Juvenile,Clam Bay,CBL,Green,NA,NA,-23.188,150.979,2021,PmJuv02_B10,PmJuv02,B10
P.juv_01731,2021-04-08,P. maculatus,Juvenile,Clam Bay,CBL,Green,NA,NA,-23.188,150.979,2021,PmJuv02_B11,PmJuv02,B11
P.juv_01732,2021-04-08,P. maculatus,Juvenile,Clam Bay,CBL,Green,NA,NA,-23.188,150.979,2021,PmJuv02_B12,PmJuv02,B12
P.juv_01733,2021-04-08,P. maculatus,Juvenile,Clam Bay,CBL,Green,90,103,-23.188,150.979,2021,PmJuv02_C01,PmJuv02,C01
P.juv_01734,2021-04-08,P. maculatus,Juvenile,Clam Bay,CBL,Green,111,116,-23.188,150.979,2021,PmJuv02_C02,PmJuv02,C02
P.juv_01735,2021-04-09,P. maculatus,Juvenile,Clam Bay,CBL,Green,115,119,-23.188,150.979,2021,PmJuv02_C03,PmJuv02,C03
P.juv_01736,2021-04-09,P. maculatus,Juvenile,Clam Bay,CBL,Green,115,118,-23.188,150.979,2021,PmJuv02_C04,PmJuv02,C04
P.juv_01737,2021-04-09,P. maculatus,Juvenile,Clam Bay,CBL,Green,119,123,-23.188,150.979,2021,PmJuv02_C05,PmJuv02,C05
P.juv_01738,2021-04-09,P. maculatus,Juvenile,Clam Bay,CBL,Green,104,110,-23.188,150.979,2021,PmJuv02_C06,PmJuv02,C06
P.juv_01739,2021-04-09,P. maculatus,Juvenile,Clam Bay,CBL,Green,110,115,-23.188,150.979,2021,PmJuv02_C07,PmJuv02,C07
P.juv_01740,2021-04-09,P. maculatus,Juvenile,Clam Bay,CBL,Green,104,107,-23.188,150.979,2021,PmJuv02_C08,PmJuv02,C08
P.juv_01741,2021-04-09,P. maculatus,Juvenile,Clam Bay,CBL,Green,NA,NA,-23.188,150.979,2021,PmJuv02_C09,PmJuv02,C09
P.juv_01742,2021-04-09,P. maculatus,Juvenile,Clam Bay,CBL,Green,NA,NA,-23.188,150.979,2021,PmJuv02_C10,PmJuv02,C10
P.juv_01743,2021-04-09,P. maculatus,Juvenile,Clam Bay,CBL,Green,NA,NA,-23.188,150.979,2021,PmJuv02_C11,PmJuv02,C11
P.juv_01744,2021-04-09,P. maculatus,Juvenile,Clam Bay,CBL,Green,NA,NA,-23.188,150.979,2021,PmJuv02_C12,PmJuv02,C12
P.juv_01745,2021-04-09,P. maculatus,Juvenile,Clam Bay,CBL,Green,60,61,-23.188,150.979,2021,PmJuv02_D01,PmJuv02,D01
P.juv_01746,2021-04-09,P. maculatus,Juvenile,Clam Bay,CBL,Green,88,92,-23.188,150.979,2021,PmJuv02_D02,PmJuv02,D02
P.juv_01747,2021-04-09,P. maculatus,Juvenile,Clam Bay,CBL,Green,124,128,-23.188,150.979,2021,PmJuv02_D03,PmJuv02,D03
P.juv_01748,2021-04-09,P. maculatus,Juvenile,Clam Bay,CBL,Green,100,103,-23.188,150.979,2021,PmJuv02_D04,PmJuv02,D04
P.juv_01749,2021-04-09,P. maculatus,Juvenile,Clam Bay,CBL,Green,61,63,-23.188,150.979,2021,PmJuv02_D05,PmJuv02,D05
P.juv_01750,2021-04-09,P. maculatus,Juvenile,Clam Bay,CBL,Green,105,111,-23.188,150.979,2021,PmJuv02_D06,PmJuv02,D06
P.juv_01751,2021-04-09,P. maculatus,Juvenile,Clam Bay,CBL,Green,246,256,-23.188,150.979,2021,PmJuv02_D07,PmJuv02,D07
P.juv_01752,2021-04-09,P. maculatus,Juvenile,Clam Bay,CBL,Green,59,60,-23.188,150.979,2021,PmJuv02_D08,PmJuv02,D08
P.juv_01753,2021-04-09,P. maculatus,Juvenile,Clam Bay,CBL,Green,128,132,-23.188,150.979,2021,PmJuv02_D09,PmJuv02,D09
P.juv_01754,2021-04-09,P. maculatus,Juvenile,Clam Bay,CBL,Green,103,107,-23.188,150.979,2021,PmJuv02_D10,PmJuv02,D10
P.juv_01755,2021-04-09,P. maculatus,Juvenile,Clam Bay,CBL,Green,73,75,-23.188,150.979,2021,PmJuv02_D11,PmJuv02,D11
P.juv_01756,2021-04-09,P. maculatus,Juvenile,Clam Bay,CBL,Green,96,100,-23.188,150.979,2021,PmJuv02_D12,PmJuv02,D12
P.juv_01757,2021-04-09,P. maculatus,Juvenile,Clam Bay,CBL,Green,97,100,-23.188,150.979,2021,PmJuv02_E01,PmJuv02,E01
P.juv_01758,2021-04-09,P. maculatus,Juvenile,Clam Bay,CBL,Green,84,86,-23.188,150.979,2021,PmJuv02_E02,PmJuv02,E02
P.juv_01759,2021-04-09,P. maculatus,Juvenile,Clam Bay,CBL,Green,59,60,-23.188,150.979,2021,PmJuv02_E03,PmJuv02,E03
P.juv_01760,2021-04-09,P. maculatus,Juvenile,Clam Bay,CBL,Green,103,106,-23.188,150.979,2021,PmJuv02_E04,PmJuv02,E04
P.juv_01761,2021-04-09,P. maculatus,Juvenile,Clam Bay,CBL,Green,86,90,-23.188,150.979,2021,PmJuv02_E05,PmJuv02,E05
P.juv_01762,2021-04-09,P. maculatus,Juvenile,Clam Bay,CBL,Green,59,59,-23.188,150.979,2021,PmJuv02_E06,PmJuv02,E06
P.juv_01763,2021-04-09,P. maculatus,Juvenile,Clam Bay,CBL,Green,NA,NA,-23.188,150.979,2021,PmJuv02_E07,PmJuv02,E07
P.juv_01764,2021-04-09,P. maculatus,Juvenile,Clam Bay,CBL,Green,220,229,-23.188,150.979,2021,PmJuv02_E08,PmJuv02,E08
P.juv_01765,2021-04-09,P. maculatus,Juvenile,Clam Bay,CBL,Green,285,295,-23.188,150.979,2021,PmJuv02_E09,PmJuv02,E09
P.juv_01766,2021-04-09,P. maculatus,Juvenile,Clam Bay,CBL,Green,108,113,-23.188,150.979,2021,PmJuv02_E10,PmJuv02,E10
P.juv_01767,2021-04-09,P. maculatus,Juvenile,Clam Bay,CBL,Green,125,129,-23.188,150.979,2021,PmJuv02_E11,PmJuv02,E11
P.juv_01768,2021-04-09,P. maculatus,Juvenile,Clam Bay,CBL,Green,78,80,-23.188,150.979,2021,PmJuv02_E12,PmJuv02,E12
P.juv_01769,2021-04-09,P. maculatus,Juvenile,Clam Bay,CBL,Green,104,107,-23.188,150.979,2021,PmJuv02_F01,PmJuv02,F01
P.juv_01770,2021-04-09,P. maculatus,Juvenile,Clam Bay,CBL,Green,133,137,-23.188,150.979,2021,PmJuv02_F02,PmJuv02,F02
P.juv_01771,2021-04-09,P. maculatus,Juvenile,Clam Bay,CBL,Green,90,95,-23.188,150.979,2021,PmJuv02_F03,PmJuv02,F03
P.juv_01772,2021-04-09,P. maculatus,Juvenile,Clam Bay,CBL,Green,122,126,-23.188,150.979,2021,PmJuv02_F04,PmJuv02,F04
P.juv_01773,2021-04-09,P. maculatus,Juvenile,Clam Bay,CBL,Green,124,125,-23.188,150.979,2021,PmJuv02_F05,PmJuv02,F05
P.juv_01774,2021-04-09,P. maculatus,Juvenile,Clam Bay,CBL,Green,138,144,-23.188,150.979,2021,PmJuv02_F06,PmJuv02,F06
P.juv_01775,2021-04-09,P. maculatus,Juvenile,Clam Bay,CBL,Green,104,108,-23.188,150.979,2021,PmJuv02_F07,PmJuv02,F07
P.juv_01776,2021-04-09,P. maculatus,Juvenile,Clam Bay,CBL,Green,107,111,-23.188,150.979,2021,PmJuv02_F08,PmJuv02,F08
P.juv_01777,2021-04-09,P. maculatus,Juvenile,Clam Bay,CBL,Green,112,119,-23.188,150.979,2021,PmJuv02_F09,PmJuv02,F09
P.juv_01778,2021-04-09,P. maculatus,Juvenile,Clam Bay,CBL,Green,120,125,-23.188,150.979,2021,PmJuv02_F10,PmJuv02,F10
P.juv_01779,2021-04-09,P. maculatus,Juvenile,Clam Bay,CBL,Green,125,131,-23.188,150.979,2021,PmJuv02_F11,PmJuv02,F11
P.juv_01780,2021-04-09,P. maculatus,Juvenile,Clam Bay,CBL,Green,233,246,-23.188,150.979,2021,PmJuv02_F12,PmJuv02,F12
P.juv_01781,2021-04-09,P. maculatus,Juvenile,Clam Bay,CBL,Green,142,150,-23.188,150.979,2021,PmJuv02_G01,PmJuv02,G01
P.juv_01782,2021-04-09,P. maculatus,Juvenile,Clam Bay,CBL,Green,165,172,-23.188,150.979,2021,PmJuv02_G02,PmJuv02,G02
P.juv_01783,2021-04-09,P. maculatus,Juvenile,Clam Bay,CBL,Green,118,123,-23.188,150.979,2021,PmJuv02_G03,PmJuv02,G03
P.juv_01784,2021-04-09,P. maculatus,Juvenile,Clam Bay,CBL,Green,129,132,-23.188,150.979,2021,PmJuv02_G04,PmJuv02,G04
P.juv_01785,2021-04-09,P. maculatus,Juvenile,Clam Bay,CBL,Green,90,95,-23.188,150.979,2021,PmJuv02_G05,PmJuv02,G05
P.juv_01786,2021-04-09,P. maculatus,Juvenile,Clam Bay,CBL,Green,58,59,-23.188,150.979,2021,PmJuv02_G06,PmJuv02,G06
P.juv_01787,2021-04-09,P. maculatus,Juvenile,Middle Island,M3,Green,98,100,-23.168,150.922,2021,PmJuv02_G07,PmJuv02,G07
P.juv_01788,2021-04-09,P. maculatus,Juvenile,Clam Bay,CBL,Green,63,64,-23.188,150.979,2021,PmJuv02_G08,PmJuv02,G08
P.juv_01789,2021-04-09,P. maculatus,Juvenile,Clam Bay,CBL,Green,NA,64,-23.188,150.979,2021,PmJuv02_G09,PmJuv02,G09
P.juv_01790,2021-04-09,P. maculatus,Juvenile,Halfway Is Blue,HWAY BLUE,Blue,185,193,-23.201,150.966,2021,PmJuv02_G10,PmJuv02,G10
