ISLAND,ZONING,REEF,SITE,POSITION,LAT,LONG,Transect directions,Average depth,Exposure,No. of sites,No. core sites,Notes,Feb-23,Jan/Feb 24
HALFWAY,BLUE,Halfway Is Blue,H3,S23 12.051' E150 57.961',-23.20085,150.966017,"3 S, 2 N",6.9 - 8.0,Sheltered,15,14,,DONE,
HUMPY,YELLOW,Humpy Island,HU1,S23 12.772' E150 57.861',-23.217133,150.97415,"3 N, 2 S",5.0 - 6.0,Sheltered,16,15,,DONE,DONE
HUMPY,YELLOW,Humpy Island,HU2,S23 13.028' E150 58.449',-23.212867,150.96435,"3 SE, 2 SW",7.5 - 9.0,Exposed,17,,Surveyed in 2015 & 2017,DONE,
MAN & WIFE ROCKS,BLUE,Man and Wife Rocks,MW1,S23 07.004' E150 59.479',-23.116733,150.991317,"3 E, 2 W",7.0 - 8.5,Exposed,18,,Surveyed in 2015 & 2017,,
MIALL,BLUE,Miall Island,MI1,S23 09.001' E150 54.191',-23.150017,150.903183,"3 E, 2 W",7.7 - 8.4,Semi-exposed,19,16,,DONE,DONE
MIALL,BLUE,Miall Island,MI2,S23 09.275' E150 54.453',-23.154576,150.907553,"3 N, 2 S",7.6 - 8.4,Exposed,20,17,,DONE,
MIDDLE,GREEN,Middle Island,M1,S23 10.272' E150 55.424',-23.1712,150.923733,"3 W, 2 E",3.3 - 3.4,Sheltered,21,18,,DONE,DONE
MIDDLE,GREEN,Middle Island,M2,S23 10.159' E150 55.035',-23.169317,150.917423,"3 E, 2 W",3.4 - 3.7,Semi-exposed,22,19,,DONE,DONE
MIDDLE,GREEN,Middle Island,M3,S23 09.763' E150 55.260',-23.162717,150.920994,"3 NW, 2 SE",4.3 - 5.9,Semi-exposed,23,20,,DONE,DONE
MIDDLE,GREEN,Middle Island,M4,S23 10.092' E150 55.537',-23.1682,150.925617,"3 E, 2 W",3.1 - 3.7,Sheltered,24,21,,DONE,DONE
NORTH KEPPEL,GREEN,North Keppel Is Green,NK1,S23 04.880' E150 53.049',-23.081333,150.88415,"3 S, 2 N",4.6 - 4.9,Sheltered,25,22,,DONE,
NORTH KEPPEL,BLUE,North Keppel Is Blue,NK2,S23 05.061' E150 53.127',-23.08435,150.88545,"3 S, 2 N",4.3 - 5.0,Sheltered,26,,"Surveyed in 2004, 2017 & 2021",DONE,
NORTH KEPPEL,BLUE,North Keppel Is Blue,NK3,S23 05.207' E150 53.520',-23.086783,150.892,"3 W, 2 E",4.9 - 5.3,Semi-exposed,27,23,,DONE,
NORTH KEPPEL,GREEN,North Keppel Is Green,NK5,S23 04.963' E150 54.738',-23.082717,150.9123,"3 S, 2 N",7.2 - 8.0,Exposed,28,24,,DONE,
NORTH KEPPEL,BLUE,North Keppel Is Blue,NK8,S23 05.254' E150 54.684',-23.087567,150.9114,"3 W, 2 E",8.0 - 8.3,Exposed,29,25,,DONE,
OUTER ROCKS,BLUE,Outer Rocks,OR1,S23 03.799' E150 57.025',-23.063317,150.950417,"3 S, 2 N",8.5 - 10.0,Semi-exposed,30,,Surveyed in 2015 & 2017,,
